trace,trace_type,eviction,prefetcher,cache_size,interaction_window,miss_ratio,byte_miss_ratio,n_req,n_prefetch,n_prefetch_then_evict,n_prefetch_then_evict_then_miss,n_prefetch_then_evict_no_demand,n_prefetch_then_evict_then_hit,n_evict,n_evict_then_prefetch,n_evict_then_useful_prefetch,n_evict_then_useless_prefetch,log_path,status
w11.oracleGeneral.bin.zst,oracleGeneral,lru,Mithril,64mb,1000,,,,,,,,,,,,,./results/cp_sweep_intensity/logs/w11.oracleGeneral.bin.zst__lru__Mithril__64mb__w1000.log,fail:134
w11.oracleGeneral.bin.zst,oracleGeneral,lru,Mithril,256mb,100,,,,,,,,,,,,,./results/cp_sweep_intensity/logs/w11.oracleGeneral.bin.zst__lru__Mithril__256mb__w100.log,fail:134
w11.oracleGeneral.bin.zst,oracleGeneral,lru,Mithril,64mb,10000,,,,,,,,,,,,,./results/cp_sweep_intensity/logs/w11.oracleGeneral.bin.zst__lru__Mithril__64mb__w10000.log,fail:134
w10.oracleGeneral.bin.zst,oracleGeneral,sieve,Mithril,256mb,100,0.8041,0.9212,48342350,10526818,212200,121136,47191,43873,49396294,63335,5187,58148,./results/cp_sweep_intensity/logs/w10.oracleGeneral.bin.zst__sieve__Mithril__256mb__w100.log,ok
w10.oracleGeneral.bin.zst,oracleGeneral,sieve,Mithril,64mb,10000,0.8788,0.9436,48342350,7919402,5203164,3459167,918711,825286,50400520,2628998,593904,2035094,./results/cp_sweep_intensity/logs/w10.oracleGeneral.bin.zst__sieve__Mithril__64mb__w10000.log,ok
w11.oracleGeneral.bin.zst,oracleGeneral,lru,Mithril,256mb,1000,,,,,,,,,,,,,./results/cp_sweep_intensity/logs/w11.oracleGeneral.bin.zst__lru__Mithril__256mb__w1000.log,fail:134
w10.oracleGeneral.bin.zst,oracleGeneral,sieve,Mithril,1gb,100,0.6761,0.8098,48342350,16327325,168438,96876,44195,27367,48995528,42628,2440,40188,./results/cp_sweep_intensity/logs/w10.oracleGeneral.bin.zst__sieve__Mithril__1gb__w100.log,ok
w11.oracleGeneral.bin.zst,oracleGeneral,fifo,Mithril,16mb,100,,,,,,,,,,,,,./results/cp_sweep_intensity/logs/w11.oracleGeneral.bin.zst__fifo__Mithril__16mb__w100.log,fail:134
w11.oracleGeneral.bin.zst,oracleGeneral,fifo,Mithril,16mb,1000,,,,,,,,,,,,,./results/cp_sweep_intensity/logs/w11.oracleGeneral.bin.zst__fifo__Mithril__16mb__w1000.log,fail:134
w11.oracleGeneral.bin.zst,oracleGeneral,fifo,Mithril,16mb,10000,,,,,,,,,,,,,./results/cp_sweep_intensity/logs/w11.oracleGeneral.bin.zst__fifo__Mithril__16mb__w10000.log,fail:134
w10.oracleGeneral.bin.zst,oracleGeneral,sieve,Mithril,256mb,1000,0.8041,0.9212,48342350,10526818,1485254,888773,372553,223928,49396294,407484,42983,364501,./results/cp_sweep_intensity/logs/w10.oracleGeneral.bin.zst__sieve__Mithril__256mb__w1000.log,ok
