trace,trace_type,eviction,prefetcher,cache_size,wss_byte,wss_frac,miss_ratio,byte_miss_ratio,n_req,log_path,status
w62.oracleGeneral.bin.zst,oracleGeneral,gdsf,PG,396206090,39620609024,0.01,0.9254,0.9046,9497745,./results/cp_wss01_prefetch_ext/logs/w62.oracleGeneral.bin.zst__gdsf__PG__396206090.log,ok
w61.oracleGeneral.bin.zst,oracleGeneral,lhd,PG,311276277,31127627776,0.01,0.7160,0.9028,9884691,./results/cp_wss01_prefetch_ext/logs/w61.oracleGeneral.bin.zst__lhd__PG__311276277.log,ok
w61.oracleGeneral.bin.zst,oracleGeneral,lhd,OBL,311276277,31127627776,0.01,0.7160,0.9028,9884691,./results/cp_wss01_prefetch_ext/logs/w61.oracleGeneral.bin.zst__lhd__OBL__311276277.log,ok
w63.oracleGeneral.bin.zst,oracleGeneral,s3fifo,none,623740083,62374008320,0.01,0.7954,0.6142,9380316,./results/cp_wss01_prefetch_ext/logs/w63.oracleGeneral.bin.zst__s3fifo__noprefetch__623740083.log,ok
w48.oracleGeneral.bin.zst,oracleGeneral,gdsf,Mithril,2206046684,220604668416,0.01,0.8201,0.9244,14097008,./results/cp_wss01_prefetch_ext/logs/w48.oracleGeneral.bin.zst__gdsf__Mithril__2206046684.log,ok
w63.oracleGeneral.bin.zst,oracleGeneral,s3fifo,PG,623740083,62374008320,0.01,0.7954,0.6142,9380316,./results/cp_wss01_prefetch_ext/logs/w63.oracleGeneral.bin.zst__s3fifo__PG__623740083.log,ok
w63.oracleGeneral.bin.zst,oracleGeneral,s3fifo,Mithril,623740083,62374008320,0.01,0.7954,0.6142,9380316,./results/cp_wss01_prefetch_ext/logs/w63.oracleGeneral.bin.zst__s3fifo__Mithril__623740083.log,ok
w63.oracleGeneral.bin.zst,oracleGeneral,s3fifo,OBL,623740083,62374008320,0.01,0.7954,0.6142,9380316,./results/cp_wss01_prefetch_ext/logs/w63.oracleGeneral.bin.zst__s3fifo__OBL__623740083.log,ok
w63.oracleGeneral.bin.zst,oracleGeneral,arc,PG,623740083,62374008320,0.01,,,,./results/cp_wss01_prefetch_ext/logs/w63.oracleGeneral.bin.zst__arc__PG__623740083.log,fail:134
w60.oracleGeneral.bin.zst,oracleGeneral,gdsf,Mithril,352079114,35207911424,0.01,0.8238,0.8286,9898835,./results/cp_wss01_prefetch_ext/logs/w60.oracleGeneral.bin.zst__gdsf__Mithril__352079114.log,ok
w58.oracleGeneral.bin.zst,oracleGeneral,gdsf,Mithril,398153661,39815366144,0.01,0.4387,0.6557,10530695,./results/cp_wss01_prefetch_ext/logs/w58.oracleGeneral.bin.zst__gdsf__Mithril__398153661.log,ok
w63.oracleGeneral.bin.zst,oracleGeneral,arc,Mithril,623740083,62374008320,0.01,,,,./results/cp_wss01_prefetch_ext/logs/w63.oracleGeneral.bin.zst__arc__Mithril__623740083.log,fail:134
w64.oracleGeneral.bin.zst,oracleGeneral,arc,none,4260163476,426016347656,0.01,0.8944,0.9395,7458266,./results/cp_wss01_prefetch_ext/logs/w64.oracleGeneral.bin.zst__arc__noprefetch__4260163476.log,ok
w64.oracleGeneral.bin.zst,oracleGeneral,s3fifo,none,4260163476,426016347656,0.01,0.8945,0.9394,7458266,./results/cp_wss01_prefetch_ext/logs/w64.oracleGeneral.bin.zst__s3fifo__noprefetch__4260163476.log,ok
w62.oracleGeneral.bin.zst,oracleGeneral,lhd,none,396206090,39620609024,0.01,0.9224,0.9255,9497745,./results/cp_wss01_prefetch_ext/logs/w62.oracleGeneral.bin.zst__lhd__noprefetch__396206090.log,ok
w62.oracleGeneral.bin.zst,oracleGeneral,lhd,Mithril,396206090,39620609024,0.01,0.9224,0.9255,9497745,./results/cp_wss01_prefetch_ext/logs/w62.oracleGeneral.bin.zst__lhd__Mithril__396206090.log,ok
w64.oracleGeneral.bin.zst,oracleGeneral,arc,OBL,4260163476,426016347656,0.01,0.8942,0.9395,7458266,./results/cp_wss01_prefetch_ext/logs/w64.oracleGeneral.bin.zst__arc__OBL__4260163476.log,ok
w63.oracleGeneral.bin.zst,oracleGeneral,gdsf,OBL,623740083,62374008320,0.01,0.7945,0.6660,9380316,./results/cp_wss01_prefetch_ext/logs/w63.oracleGeneral.bin.zst__gdsf__OBL__623740083.log,ok
