trace,trace_type,eviction,prefetcher,cache_size,wss_byte,wss_frac,miss_ratio,byte_miss_ratio,n_req,log_path,status
w87.oracleGeneral.bin.zst,oracleGeneral,lru,none,353836161,35383616192,0.01,0.8368,0.7006,3788806,/users/varuncg/libCacheSim/results/cp_wss01_prefetch/logs/w87.oracleGeneral.bin.zst__lru__noprefetch__353836161.log,ok
w86.oracleGeneral.bin.zst,oracleGeneral,sieve,OBL,881879598,88187959808,0.01,0.9478,0.9789,4749563,/users/varuncg/libCacheSim/results/cp_wss01_prefetch/logs/w86.oracleGeneral.bin.zst__sieve__OBL__881879598.log,ok
w88.oracleGeneral.bin.zst,oracleGeneral,lru,none,81331210,8133121024,0.01,0.3647,0.5837,4711053,/users/varuncg/libCacheSim/results/cp_wss01_prefetch/logs/w88.oracleGeneral.bin.zst__lru__noprefetch__81331210.log,ok
w87.oracleGeneral.bin.zst,oracleGeneral,lru,OBL,353836161,35383616192,0.01,0.7943,0.6997,3788806,/users/varuncg/libCacheSim/results/cp_wss01_prefetch/logs/w87.oracleGeneral.bin.zst__lru__OBL__353836161.log,ok
w87.oracleGeneral.bin.zst,oracleGeneral,sieve,none,353836161,35383616192,0.01,0.8668,0.7786,3788806,/users/varuncg/libCacheSim/results/cp_wss01_prefetch/logs/w87.oracleGeneral.bin.zst__sieve__noprefetch__353836161.log,ok
w82.oracleGeneral.bin.zst,oracleGeneral,lru,Mithril,26526013,2652601344,0.01,0.2193,0.2121,4926610,/users/varuncg/libCacheSim/results/cp_wss01_prefetch/logs/w82.oracleGeneral.bin.zst__lru__Mithril__26526013.log,ok
w88.oracleGeneral.bin.zst,oracleGeneral,lru,OBL,81331210,8133121024,0.01,0.3646,0.5837,4711053,/users/varuncg/libCacheSim/results/cp_wss01_prefetch/logs/w88.oracleGeneral.bin.zst__lru__OBL__81331210.log,ok
w87.oracleGeneral.bin.zst,oracleGeneral,sieve,OBL,353836161,35383616192,0.01,0.8235,0.7823,3788806,/users/varuncg/libCacheSim/results/cp_wss01_prefetch/logs/w87.oracleGeneral.bin.zst__sieve__OBL__353836161.log,ok
w88.oracleGeneral.bin.zst,oracleGeneral,lru,Mithril,81331210,8133121024,0.01,,,,/users/varuncg/libCacheSim/results/cp_wss01_prefetch/logs/w88.oracleGeneral.bin.zst__lru__Mithril__81331210.log,fail:134
w88.oracleGeneral.bin.zst,oracleGeneral,sieve,none,81331210,8133121024,0.01,0.3388,0.5703,4711053,/users/varuncg/libCacheSim/results/cp_wss01_prefetch/logs/w88.oracleGeneral.bin.zst__sieve__noprefetch__81331210.log,ok
